지역합,POS코드,판매점명,주소,총실적,거래점1,실적1,거래점2,실적2,위도,경도
부산 동래구,P375730,메타체이서,부산 동래구 명안로85번길 10-2,2,유모스트,2,,0,35.20421702,129.1041191
부산 연제구,P376523,영앤리치모바일,부산 연제구 거제천로87번길 30,2,강산,2,,0,35.18325146,129.0725895
부산 수영구,P376779,휴대폰아울렛망미,부산 수영구 연수로 335-1,2,태성,2,,0,35.17197548,129.1073021
부산 사하구,P376924,휴대폰주민센터하단본점,부산 사하구 낙동대로549번길 66,2,수인,2,,0,35.1127531,128.9602212
부산 연제구,P376956,후니모바일,부산 연제구 연동로 13,2,메타,2,,0,35.18790475,129.0933456
경북 구미시,P377059,쇼스토어,경북 구미시 송정대로 62,2,유모스트,2,,0,36.11765721,128.3455447
경북 경주시,P377805,신라통신_경주,경북 경주시 동성로111번길 3,2,에스엠,1,뉴에이스,1,35.84354253,129.2125473
부산 부산진구,P377948,맥스,부산 부산진구 동천로 4,2,유모스트,2,,0,35.14943623,129.0639756
부산 부산진구,P378734,샵블루,부산 부산진구 백양관문로 3,2,메타,2,,0,35.15944077,129.0311578
경북 포항시,P379335,본진커뮤니케이션,경북 포항시 남구 상도로 33-1,2,뉴에이스,2,,0,36.01231744,129.3530899
부산 금정구,P379592,휴대폰주민센터 두실점,부산 금정구 중앙대로1929번길 14,2,에스엠,2,,0,35.25661453,129.0904851
경남 창원시,P379593,제이폰#(뉴텔레콤),경남 창원시 마산회원구 합성북16길 197,2,에스엠,1,수인,1,35.24508336,128.5865316
경남 양산시,P379744,비케이통신,경남 양산시 하북면 신평로 42,2,에스엠,2,,0,35.49187046,129.0871497
경북 포항시,P380245,소담,경북 포항시 북구 흥해읍 흥해로 54,2,유모스트,2,,0,36.10945644,129.3473143
대구 달서구,P381016,상인통신,대구 달서구 월서로 28,2,수인,1,가본,1,35.82058145,128.5317662
경남 창원시,P381430,문모바일,경남 창원시 의창구 소계로 86-1,2,수인,2,,0,35.25706179,128.5993514
부산 영도구,P381989,에스엠(SM)통신,부산 영도구 동삼로 26-1,2,태성,2,,0,35.07620551,129.0721416
부산 부산진구,P381991,짱구폰,부산 부산진구 새싹로 127,2,유모스트,2,,0,35.16762646,129.0508795
대구 북구,P382252,예스모바일 사수점,대구 북구 한강로 17,2,에스엠,2,,0,35.89738101,128.5121045
대구 달서구,P382446,엔젤통신 월성점,대구 달서구 학산남로 2,2,유모스트,2,,0,35.82313559,128.5332369
울산 남구,P382447,케이엠모바일,울산 남구 수암로129번길 9,2,에스엠,2,,0,35.52875626,129.3218251
부산 남구,P383973,깨비통신,부산 남구 못골로 95-1,2,태성,2,,0,35.13578122,129.0929022
경남 창원시,P384186,주식회사 배티 안민점,경남 창원시 성산구 안민안길5번길 10,2,태성,2,,0,35.18639991,128.6900279
대구 북구,P384905,정원,대구 북구 연암로 178,2,에스엠,2,,0,35.90033519,128.5965452
대구 남구,P385410,송이통신,대구 남구 명덕로 102,2,유모스트,2,,0,35.85675181,128.5812663
부산 북구,P385648,하람다과점,부산 북구 효열로 76-1,2,에스엠,2,,0,35.25278726,129.014238
울산 동구,P386909,테라콤,울산 동구 번덕8길 31,2,유모스트,2,,0,35.49861019,129.4267058
대구 북구,P387063,미친폰,대구 북구 침산로 93,2,태성,2,,0,35.88522557,128.5897899
울산 동구,P387227,윤샵,울산 동구 학문로 2,2,유모스트,2,,0,35.50267972,129.4289136
경남 창원시,P398528,광5호,경남 창원시 마산회원구 석전동로 13,2,수인,2,,0,35.23171883,128.5753479
대구 동구,P399145,스마트모바일 신암점,대구 동구 신암로 132,2,유모스트,2,,0,35.88082582,128.6138152
경남 고성군,P399165,폰뱅크,경남 고성군 고성읍 송학로 139,2,에스엠,2,,0,34.97786704,128.3247437
경남 창원시,P404696,바로텔레콤,경남 창원시 성산구 가음로15번길 52,2,에스엠,2,,0,35.21284456,128.7032578
대구 북구,P407656,미소통신,대구 북구 구암로21길 6,2,수인,2,,0,35.93275377,128.5528202
경북 포항시,P408563,미노통신,경북 포항시 남구 상공로 132-1,2,유모스트,2,,0,36.01911075,129.3619959
울산 중구,P419470,티엠모바일2호,울산 중구 함월22길 11,2,유모스트,2,,0,35.57856975,129.3172546
부산 부산진구,P419869,제이디 부곡점,부산 부산진구 범양로126번길 2,2,빅뱅,2,,0,35.17420416,129.0658057
울산 울주군,P421915,H_11호,울산 울주군 범서읍 장검길 10,2,강산,2,,0,35.55758898,129.253953
경북 칠곡군,P432990,석적텔레콤,경북 칠곡군 석적읍 장곡길 115,2,유모스트,2,,0,36.07610221,128.4075949
대구 수성구,P448150,옆커폰 시지 신매광장,대구 수성구 신매로19길 46,2,태성,1,골드스타,1,35.83948673,128.7072416
울산 남구,P452898,인생폰,울산 남구 중앙로 105,2,유모스트,2,,0,35.53065689,129.3155232
경북 포항시,P459601,스텔라통신,경북 포항시 남구 상공로 240,2,도매직영,2,,0,36.0229381,129.3720273
대구 달성군,P462487,휴대폰마-켓,대구 달성군 옥포읍 돌미로 52,2,에스엠,1,공감,1,35.77955155,128.4399682
대구 중구,P469829,휴대폰성지 T.C모바일,대구 중구 달구벌대로 1950,2,태성,2,,0,35.86287963,128.576747
경북 칠곡군,P476374,옆커폰석적,경북 칠곡군 석적읍 북중리3길 46,2,태성,2,,0,36.07865334,128.4112871
경북 상주시,P477305,유림통신,경북 상주시 삼백로 171-1,2,뉴에이스,2,,0,36.41898301,128.1625063
부산 해운대구,P489054,재송캐슬,부산 해운대구 재반로 168,2,태성,2,,0,35.19265118,129.1289534
부산 동구,P489571,진텔레콤,부산 동구 진성로 30,2,빅뱅,2,,0,35.1311299,129.047001
부산 해운대구,P495095,에스디모바일,부산 해운대구 수영강변대로 464,2,태성,2,,0,35.19959468,129.11674
경북 경산시,P498916,최싸폰하양,경북 경산시 하양읍 하양로 55-1,2,에스엠,2,,0,35.91052069,128.815121
경남 통영시,P500403,하이통신,경남 통영시 북신로 22,2,도매직영,2,,0,34.85309791,128.426995
대구 달서구,P510499,노란마켓 계대역점,대구 달서구 계대동문로 15,2,마라톤,2,,0,35.85580207,128.4939687
경남 창원시,P512086,(셀)휴대폰성지_석동점,경남 창원시 진해구 진해대로 762,2,수석_경상,2,,0,35.15816462,128.6987576
경북 안동시,P522480,폰가게_안동,경북 안동시 풍산읍 풍산중앙길 123,2,NS컴퍼니,2,,0,36.57904258,128.5743243
부산 기장군,P525493,역전폰 기장본점,부산 기장군 기장읍 차성로288번길 63,2,유모스트,2,,0,35.24322269,129.2172554
부산 수영구,P539326,폰살롱,부산 수영구 민락수변로17번길 36,2,태성,2,,0,35.15424015,129.126066
경남 진주시,P543573,휴대폰아울렛초전점,경남 진주시 초북로 62-6,2,수인,1,태성,1,35.21364756,128.1108015
경북 구미시,P557858,올바른알뜰통신,경북 구미시 박정희로 599,2,태성,2,,0,36.12201143,128.3402721
울산 울주군,P597092,가족텔레콤,울산 울주군 온산읍 신온9길 57,2,도매직영,2,,0,35.42751234,129.3107498
부산 사하구,P604536,휴대폰싼집,부산 사하구 두송로 11,2,메타,2,,0,35.07991607,128.978122
부산 남구,P604904,휴대폰성지 찐성지 대연점,부산 남구 수영로 276,2,빅뱅,2,,0,35.13561638,129.0966812
경북 영덕군,P613371,알뜰텔레콤,경북 영덕군 영해면 예주시장길 25,2,도매직영,2,,0,36.53917351,129.4067494
경북 포항시,P622252,우정텔레콤,경북 포항시 북구 천마로72번길 20,2,뉴에이스,2,,0,36.08290116,129.3992339
대구 동구,P638821,당근통신,대구 동구 효목로 100,2,태성,2,,0,35.88130396,128.643292
경남 진주시,P663575,(셀)휴대폰성지_하대점,경남 진주시 모덕로 261,2,유모스트,1,수석_경상,1,35.1889942,128.122659
경북 경주시,P687524,할미통신,경북 경주시 양정로328번길 16-1,2,뉴에이스,2,,0,35.86238854,129.2252667
대구 달서구,P705666,참한언니폰,대구 달서구 와룡로 254,2,공감,2,,0,35.85411649,128.538483
부산 사상구,P706563,빅뽀텔레콤,부산 사상구 사상로238번길 37,2,태성,2,,0,35.1664289,128.9848259
대구 동구,P714570,노빵통신,대구 동구 효목로 34,2,수인,1,유안,1,35.87632809,128.6398626
대구 달서구,P715824,우방통신,대구 달서구 이곡공원로 83,2,공감,2,,0,35.85552969,128.5174753
경북 경주시,P721777,공감폰가게,경북 경주시 광중길 11,2,뉴에이스,2,,0,35.87938548,129.2243853
경남 진주시,P724112,다쏜다 휴대폰성지 진주점,경남 진주시 진양호로 222,2,도매직영,2,,0,35.17385284,128.0610621
부산 해운대구,P725083,폰마트,부산 해운대구 아랫반송로 53,2,유모스트,2,,0,35.22308038,129.1506331
경북 구미시,P752551,상모정보통신,경북 구미시 상모로9길 1,2,수인,2,,0,36.09003709,128.3562667
부산 강서구,P754375,띠링,부산 강서구 명지오션시티10로 114,2,메타,2,,0,35.08633055,128.9081799
부산 연제구,P765988,파라다이스텔레콤,부산 연제구 연안로13번길 17,2,도매직영,2,,0,35.18893623,129.1060995
부산 해운대구,P766597,막내통신,부산 해운대구 재반로242번길 12,2,유모스트,2,,0,35.19856276,129.131985
경북 상주시,P767169,옆커폰상주,경북 상주시 중앙로 194,2,골드스타,2,,0,36.41550021,128.1596148
경남 거제시,P768745,거제휴대폰성지니,경남 거제시 신부로 30,2,에스엠,2,,0,34.86929765,128.7315538
경남 창원시,P771955,주현정보통신,경남 창원시 의창구 도계로60번길 1,2,에스엠,2,,0,35.25898409,128.6377145
부산 사하구,P777125,휴대폰놀이터,부산 사하구 다대로 142,2,메타,2,,0,35.08986338,128.9772212
부산 동래구,P778823,땅폰_미남점,부산 동래구 여고북로 192,2,메타,2,,0,35.20251496,129.0752638
울산 남구,P791353,휴대폰성지 싸게팔아라,울산 남구 삼산중로74번길 15,2,골드스타,2,,0,35.54054772,129.3370572
경북 구미시,P808719,조은,경북 구미시 신시로 68-3,2,유모스트,1,에스엠,1,36.11407395,128.3396085
대구 남구,P811754,리턴즈컴퍼니,대구 남구 대명로 128,2,공감,2,,0,35.83914724,128.5715768
부산 연제구,P816268,부산-베스트모바일,부산 연제구 쌍미천로 147,2,수석_경상,2,,0,35.18579298,129.0871198
부산 사하구,P819531,하랑에이플러스,부산 사하구 낙동대로234번길 19,2,도매직영,2,,0,35.10058479,128.9909119
부산 부산진구,P823310,연지 휴대폰 성지,부산 부산진구 연지로 8,2,에스엠,2,,0,35.17060135,129.0507531
대구 수성구,P854515,H.만촌통신,대구 수성구 교학로 64,2,공감,2,,0,35.84955582,128.6517626
경남 함안군,P880129,삼칠제일정보통신,경남 함안군 칠원읍 구성길 6,2,도매직영,2,,0,35.30694236,128.5175894
부산 동래구,P884120,폰드림,부산 동래구 석사로33번길 9,2,메타,2,,0,35.19983682,129.0626532
부산 사하구,P908616,비엠통신,부산 사하구 장림시장7길 90,2,에스엠,2,,0,35.08014774,128.9672356
울산 중구,P911061,휴대폰성지WL,울산 중구 반구정4길 34,2,유모스트,1,수석_경상,1,35.5569243,129.3440132
대구 수성구,P919638,메인통신,대구 수성구 달구벌대로 2670,2,공감,2,,0,35.85469408,128.6533496
경남 창원시,P920499,코리텔레콤,경남 창원시 마산합포구 남성로 139,2,빅뱅,2,,0,35.20532946,128.576616
경남 창원시,P925269,휴대폰성지 명수폰,경남 창원시 성산구 동산로73번길 11,2,에스엠,2,,0,35.21728803,128.6849384
경북 칠곡군,P950686,JH통신,경북 칠곡군 왜관읍 중앙로 190,2,뉴에이스,2,,0,35.99189306,128.3993018
경남 진주시,P953667,스마트 통신,경남 진주시 창렬로 108,2,도매직영,2,,0,35.19767613,128.0692031
대구 남구,P954767,도_참텔레콤,대구 남구 봉덕로 101,2,뉴에이스,2,,0,35.84484961,128.6016224
대구 남구,P955511,진통신,대구 남구 명덕로 80,2,마라톤,2,,0,35.85774429,128.5791669
부산 동구,P956166,동신정보통신,부산 동구 대영로243번길 20,2,도매직영,2,,0,35.11304447,129.0377484
경북 영주시,P957465,T명동,경북 영주시 구성로 356,2,뉴에이스,2,,0,36.82357088,128.6229659
부산 동래구,P961487,디씨 폰 프라자 (동래점),부산 동래구 동래로 11,2,도매직영,2,,0,35.21340294,129.0775809
